mode,touch_buffer,be_trigger,be_buffer,trades,wr,net_rs,max_dd,profit_factor,sharpe,sortino,calmar,avg_sl,avg_tp,avg_trades_day
FLAT,0.0,0.0,0.0,23987,0.6254,2084583.92,9977.68,1.3748,8.857,22.724,208.9248,8.895,8.5,15.896
BE,0.0,0.7,1.0,24198,0.6366,2108703.23,9302.62,1.3897,9.055,23.602,226.6784,8.329,8.464,16.036
FLAT,0.1,0.0,0.0,24061,0.6241,2051186.2,10770.08,1.3661,8.713,22.07,190.4523,8.903,8.501,15.945
BE,0.1,0.7,1.0,24272,0.6352,2073125.69,9828.48,1.3802,8.909,22.953,210.9304,8.34,8.465,16.085
FLAT,0.2,0.0,0.0,24123,0.6225,2016545.05,13111.65,1.3575,8.566,21.406,153.798,8.899,8.504,15.986
BE,0.2,0.7,1.0,24335,0.6337,2045452.54,11214.91,1.3728,8.793,22.352,182.3869,8.337,8.469,16.127
FLAT,0.25,0.0,0.0,24181,0.6217,1997732.33,12691.62,1.3526,8.45,20.977,157.4056,8.899,8.502,16.025
BE,0.25,0.7,1.0,24393,0.6328,2023080.78,11318.99,1.3669,8.68,21.855,178.7333,8.342,8.467,16.165
FLAT,0.3,0.0,0.0,24216,0.6208,1978529.28,12913.89,1.348,8.364,20.615,153.2094,8.895,8.502,16.048
BE,0.3,0.7,1.0,24430,0.6319,2004394.17,11541.25,1.3622,8.594,21.518,173.6721,8.338,8.467,16.19
FLAT,0.4,0.0,0.0,24288,0.6197,1958484.91,13270.41,1.3426,8.257,20.007,147.5829,8.894,8.504,16.095
BE,0.4,0.7,1.0,24507,0.6308,1983203.32,11903.95,1.3563,8.485,20.837,166.6005,8.337,8.469,16.241
FLAT,0.5,0.0,0.0,24381,0.618,1922096.64,13228.05,1.3335,8.078,19.36,145.3046,8.891,8.507,16.157
BE,0.5,0.7,1.0,24600,0.6291,1946180.67,11861.59,1.3467,8.303,20.198,164.0742,8.337,8.472,16.302
FLAT,0.75,0.0,0.0,24581,0.6143,1840351.96,13365.88,1.3138,7.711,17.933,137.6903,8.884,8.51,16.29
BE,0.75,0.7,1.0,24803,0.6253,1866978.01,12445.74,1.3267,7.943,18.718,150.0094,8.341,8.476,16.437
FLAT,1.0,0.0,0.0,24761,0.6114,1775684.21,17913.31,1.2984,7.379,16.665,99.1265,8.884,8.512,16.409
BE,1.0,0.7,1.0,24990,0.6224,1800482.81,16245.94,1.3103,7.591,17.345,110.8267,8.345,8.477,16.561
FLAT,1.5,0.0,0.0,25096,0.6057,1641693.78,18353.33,1.2682,6.808,14.725,89.4494,8.882,8.516,16.631
BE,1.5,0.7,1.0,25339,0.6164,1659077.81,17156.19,1.2775,6.967,15.166,96.7043,8.355,8.48,16.792
FLAT,2.0,0.0,0.0,25390,0.6017,1547057.38,18788.54,1.2473,6.415,13.595,82.3405,8.881,8.517,16.826
BE,2.0,0.7,1.0,25634,0.6123,1567126.12,17836.05,1.2564,6.561,13.979,87.8628,8.365,8.482,16.987
FLAT,3.0,0.0,0.0,25861,0.5957,1391063.44,21956.1,1.2147,5.736,11.683,63.3566,8.897,8.52,17.138
BE,3.0,0.7,1.0,26122,0.6062,1404769.4,20288.72,1.2215,5.829,11.94,69.2389,8.392,8.483,17.311
FLAT,4.0,0.0,0.0,26309,0.5907,1268342.98,27137.51,1.1897,5.165,10.092,46.7376,8.912,8.534,17.435
BE,4.0,0.7,1.0,26578,0.6005,1267607.96,27417.68,1.1933,5.182,10.161,46.2332,8.426,8.497,17.613
FLAT,5.0,0.0,0.0,26726,0.5852,1116405.29,41538.47,1.1618,4.461,8.271,26.8764,8.935,8.545,17.711
BE,5.0,0.7,1.0,26996,0.5952,1117608.41,39411.78,1.1651,4.495,8.37,28.3572,8.456,8.508,17.89
