mode,fixed_sl_tp,touch_buffer,trades,wr,net_rs,max_dd,profit_factor,sharpe,sortino,calmar
FLAT,sl7_tp15,0.0,18783,0.4090,1593759.98,23870.00,2.773,6.280,10.175,66.77
FLAT,sl7_tp15,0.1,18846,0.4079,1569409.98,24370.00,2.729,6.169,9.957,64.40
FLAT,sl7_tp15,0.2,18912,0.4066,1539269.98,23980.00,2.666,6.027,9.719,64.19
FLAT,sl7_tp15,0.25,18957,0.4058,1522489.98,23980.00,2.639,5.962,9.595,63.49
FLAT,sl7_tp15,0.3,18990,0.4052,1508849.98,23980.00,2.612,5.899,9.505,62.92
FLAT,sl7_tp15,0.4,19047,0.4046,1496079.98,23050.00,2.589,5.827,9.368,64.91
FLAT,sl7_tp15,0.5,19114,0.4029,1455429.98,24510.00,2.525,5.678,9.123,59.38
FLAT,sl7_tp15,0.75,19286,0.4000,1389449.98,29510.00,2.407,5.384,8.519,47.08
FLAT,sl7_tp15,1.0,19436,0.3974,1327319.98,34440.00,2.309,5.134,8.035,38.54
FLAT,sl7_tp15,1.5,19736,0.3933,1233089.98,41570.00,2.178,4.766,7.383,29.66
FLAT,sl7_tp15,2.0,19972,0.3905,1167999.98,43280.00,2.092,4.519,6.888,26.99
FLAT,sl7_tp15,3.0,20348,0.3852,1035769.98,45850.00,1.924,4.012,6.098,22.59
FLAT,sl7_tp15,4.0,20728,0.3812,934429.98,53620.00,1.801,3.614,5.372,17.43
FLAT,sl7_tp15,5.0,21071,0.3768,818699.99,55960.01,1.658,3.122,4.478,14.63
BE,sl7_tp15,0.0,19205,0.4418,1673829.98,20120.00,2.996,6.709,11.138,83.19
BE,sl7_tp15,0.1,19267,0.4406,1649459.98,19710.00,2.944,6.590,10.907,83.69
BE,sl7_tp15,0.2,19338,0.4392,1618769.98,19780.00,2.874,6.443,10.712,81.84
BE,sl7_tp15,0.25,19383,0.4383,1599129.98,19780.00,2.839,6.369,10.534,80.85
BE,sl7_tp15,0.3,19416,0.4376,1585489.98,19780.00,2.810,6.305,10.403,80.16
BE,sl7_tp15,0.4,19474,0.4370,1576509.98,19250.00,2.790,6.249,10.269,81.90
BE,sl7_tp15,0.5,19542,0.4354,1536399.98,20250.00,2.719,6.095,9.954,75.87
BE,sl7_tp15,0.75,19722,0.4322,1467459.98,22830.00,2.586,5.790,9.353,64.28
BE,sl7_tp15,1.0,19879,0.4293,1402349.98,26980.00,2.465,5.519,8.745,51.98
BE,sl7_tp15,1.5,20185,0.4247,1305119.98,31480.00,2.321,5.135,8.011,41.46
BE,sl7_tp15,2.0,20416,0.4222,1253579.98,32960.00,2.254,4.959,7.778,38.03
BE,sl7_tp15,3.0,20799,0.4166,1120059.98,40530.00,2.066,4.433,6.925,27.64
BE,sl7_tp15,4.0,21187,0.4119,1011989.99,45100.00,1.924,3.997,6.073,22.44
BE,sl7_tp15,5.0,21537,0.4074,899259.99,46240.00,1.770,3.506,5.224,19.45
FLAT,sl10_tp15,0.0,16114,0.4795,1355519.99,44920.00,2.278,5.051,7.695,30.18
FLAT,sl10_tp15,0.1,16166,0.4784,1332379.99,47005.00,2.247,4.959,7.498,28.35
FLAT,sl10_tp15,0.2,16216,0.4772,1305754.99,46770.00,2.205,4.843,7.336,27.92
FLAT,sl10_tp15,0.25,16254,0.4764,1287469.99,44215.00,2.181,4.773,7.189,29.12
FLAT,sl10_tp15,0.3,16274,0.4758,1271944.99,45145.00,2.156,4.706,7.073,28.17
FLAT,sl10_tp15,0.4,16313,0.4753,1262715.00,44910.01,2.141,4.654,7.039,28.12
FLAT,sl10_tp15,0.5,16370,0.4734,1216600.00,49080.00,2.080,4.480,6.742,24.79
FLAT,sl10_tp15,0.75,16464,0.4715,1172395.00,49540.01,2.019,4.294,6.448,23.67
FLAT,sl10_tp15,1.0,16577,0.4690,1111735.00,50460.01,1.942,4.065,6.083,22.03
FLAT,sl10_tp15,1.5,16783,0.4648,1010815.00,47385.00,1.828,3.690,5.482,21.33
FLAT,sl10_tp15,2.0,16952,0.4621,946985.00,49380.01,1.762,3.458,5.109,19.18
FLAT,sl10_tp15,3.0,17205,0.4568,813400.00,56790.01,1.627,2.968,4.270,14.32
FLAT,sl10_tp15,4.0,17482,0.4532,724885.00,79255.00,1.539,2.627,3.740,9.15
FLAT,sl10_tp15,5.0,17701,0.4499,637680.00,89630.00,1.453,2.285,3.158,7.11
BE,sl10_tp15,0.0,16483,0.5088,1432450.00,43645.00,2.438,5.424,8.433,32.82
BE,sl10_tp15,0.1,16535,0.5076,1406970.00,47355.00,2.404,5.326,8.247,29.71
BE,sl10_tp15,0.2,16585,0.5064,1381254.99,47120.00,2.360,5.212,8.117,29.31
BE,sl10_tp15,0.25,16624,0.5053,1357400.00,45260.00,2.327,5.129,7.953,29.99
BE,sl10_tp15,0.3,16644,0.5047,1343500.00,44565.00,2.301,5.067,7.837,30.15
BE,sl10_tp15,0.4,16687,0.5042,1333830.00,44330.00,2.284,5.010,7.800,30.09
BE,sl10_tp15,0.5,16742,0.5021,1283320.00,48500.00,2.207,4.809,7.449,26.46
BE,sl10_tp15,0.75,16842,0.4999,1233840.00,48960.00,2.134,4.604,7.118,25.20
BE,sl10_tp15,1.0,16957,0.4974,1172830.00,49860.00,2.049,4.369,6.707,23.52
BE,sl10_tp15,1.5,17170,0.4933,1078030.00,44505.00,1.930,4.003,6.081,24.22
BE,sl10_tp15,2.0,17348,0.4903,1011000.00,46740.00,1.856,3.757,5.698,21.63
BE,sl10_tp15,3.0,17614,0.4846,865780.00,55995.01,1.697,3.211,4.722,15.46
BE,sl10_tp15,4.0,17887,0.4805,772830.00,66130.00,1.599,2.847,4.210,11.69
BE,sl10_tp15,5.0,18115,0.4771,685285.00,75150.00,1.506,2.493,3.581,9.12
FLAT,sl15_tp15,0.0,13183,0.5688,1174439.99,57390.00,1.960,4.152,6.348,20.46
FLAT,sl15_tp15,0.1,13210,0.5676,1146899.99,60270.00,1.928,4.045,6.177,19.03
FLAT,sl15_tp15,0.2,13238,0.5670,1133939.99,61380.00,1.909,3.987,6.106,18.47
FLAT,sl15_tp15,0.25,13262,0.5664,1121159.99,58500.00,1.894,3.936,6.014,19.17
FLAT,sl15_tp15,0.3,13271,0.5658,1106129.99,58500.00,1.873,3.876,5.894,18.91
FLAT,sl15_tp15,0.4,13291,0.5657,1105229.99,57570.00,1.872,3.871,5.897,19.20
FLAT,sl15_tp15,0.5,13323,0.5635,1051139.99,61650.00,1.816,3.679,5.610,17.05
FLAT,sl15_tp15,0.75,13386,0.5610,990779.99,61650.00,1.748,3.453,5.200,16.07
FLAT,sl15_tp15,1.0,13460,0.5587,934800.00,65910.00,1.692,3.247,4.871,14.18
FLAT,sl15_tp15,1.5,13588,0.5543,827640.00,66480.00,1.593,2.869,4.260,12.45
FLAT,sl15_tp15,2.0,13686,0.5520,772530.00,75180.01,1.542,2.667,3.925,10.28
FLAT,sl15_tp15,3.0,13849,0.5474,656970.00,92520.01,1.448,2.278,3.329,7.10
FLAT,sl15_tp15,4.0,14000,0.5451,600450.00,114720.00,1.408,2.097,3.060,5.23
FLAT,sl15_tp15,5.0,14133,0.5418,515490.01,128010.00,1.334,1.772,2.526,4.03
BE,sl15_tp15,0.0,13474,0.5902,1247860.00,54230.00,2.055,4.432,6.997,23.01
BE,sl15_tp15,0.1,13503,0.5891,1222180.00,56180.00,2.026,4.332,6.826,21.75
BE,sl15_tp15,0.2,13529,0.5886,1212300.00,56250.00,2.008,4.283,6.752,21.55
BE,sl15_tp15,0.25,13556,0.5877,1191650.00,54410.00,1.982,4.208,6.611,21.90
BE,sl15_tp15,0.3,13562,0.5871,1177600.00,54410.00,1.961,4.149,6.488,21.64
BE,sl15_tp15,0.4,13586,0.5869,1175480.00,52570.00,1.957,4.137,6.478,22.36
BE,sl15_tp15,0.5,13619,0.5848,1121670.00,56650.00,1.897,3.944,6.161,19.80
BE,sl15_tp15,0.75,13681,0.5824,1058820.00,56650.00,1.826,3.721,5.744,18.69
BE,sl15_tp15,1.0,13757,0.5800,1002750.00,60910.00,1.766,3.513,5.364,16.46
BE,sl15_tp15,1.5,13882,0.5753,897220.00,56590.00,1.662,3.130,4.718,15.85
BE,sl15_tp15,2.0,13971,0.5726,831790.00,61470.00,1.598,2.888,4.305,13.53
BE,sl15_tp15,3.0,14143,0.5677,710170.00,69120.01,1.496,2.478,3.690,10.27
BE,sl15_tp15,4.0,14306,0.5650,645570.00,99620.01,1.446,2.266,3.345,6.48
BE,sl15_tp15,5.0,14446,0.5617,561400.01,108000.00,1.369,1.942,2.796,5.20
